instanceID, capacity, shortageCost, simulatedSolutionValue, simulationRuns, milpSolutionValue, milpOptimalityGap, piecewisePartitions, piecewiseSamples, milpMaxLinearizationError, simulatedLinearizationError,cplexSolutionTimeMs, simplexIterations, exploredNodes,instance,n_items,coeff_of_var
f3cc47b06c3a37b1c3122d6ff8740e197134a9bd1e0005708274ed5bf24e4aec,230.46228554236768,10.0,861.0643640726403,100000,861.3446479034214,0.0,100,0,0.0008166140119561896,-0.0325508571107847,3221.0,489,0,P05_UNCORRELATED,50,0.1
f365d37793eae7ecfa74303626b0e057dcfdd3c64f5fb8ddf1abab3f91296797,488.9862060562209,10.0,944.6154778556588,100000,944.9173959450512,0.0,100,0,0.0016218740004646,-0.0319620095658172,3221.0,347,0,P05_UNCORRELATED,50,0.1
f18e504b48fdbadfaba22b57fc59e26cfb9fd6fcc2556ecfc1f594bbac0bf6c4,673.2803881476872,10.0,1238.636482443651,100000,1239.5520246139258,0.0,100,0,0.0016130244185165,-0.073915324088359,4479.0,3629,162,P05_UNCORRELATED,50,0.1
7ffa7206751e7139c19957f001e6963a1b209a9d9ff01a9d1f0f051767a5fb2d,1006.8072113503724,10.0,1722.965157486457,100000,1724.408401840143,0.0,100,0,0.0014070857529107,-0.0837651502942412,4092.0,848,0,P05_UNCORRELATED,50,0.1
6fa1008e1cc1aa6541f7db681dadde9517447fe1db41220aa4a108c5efc529ca,1119.6345765103188,10.0,1892.061625928224,100000,1893.53987654978,0.0,100,0,0.001350219587934,-0.0781290948084543,5109.0,1647,104,P05_UNCORRELATED,50,0.1
def892a0afa62dcd9d7b4a1bde69efca1c9a07f6667950d44c799d558f9fddad,1338.503155357442,10.0,1898.3886306767824,100000,1899.878843247921,0.0,100,0,0.0015150314888131,-0.0784988145766145,4275.0,577,0,P05_UNCORRELATED,50,0.1
d9cd2d5d1a7b9a1af60f7538154de1317dc341ab84bd1969846aa3ca9bcb18c3,1525.452019385088,10.0,2057.040329151662,100000,2057.991517810722,0.0,100,0,0.001563801162543,-0.0462406422266435,2846.0,420,0,P05_UNCORRELATED,50,0.1
109d8ebafe8dc2cfa47240a148b69a8bcb23af3f2a7efa37f99ce7d5c97f0469,1785.3808284860645,10.0,2363.0535387765904,100000,2365.4635352733276,0.0,100,0,0.001450205775859,-0.1019865380614666,5579.0,1209,96,P05_UNCORRELATED,50,0.1
0b0c5f314839d164f0815d243ab9af796cee37f462344b4a50039c0e9d0e23e5,2050.1645442845233,10.0,2200.9809559369833,100000,2201.4551886403647,0.0,100,0,0.0017607843963731,-0.0215464246567965,4094.0,887,0,P05_UNCORRELATED,50,0.1
d85f2d7dc4f595ee123230188dffbda13e94c4472aac9fd7934948918560a0f8,2281.2270249152775,10.0,2661.935403295022,100000,2662.3610313400595,0.0,100,0,0.001517103740936,-0.0159894204987404,2598.0,644,0,P05_UNCORRELATED,50,0.1
05040d9b1acea46156bf8a5d47d51caa36dacc99b8291682c2f2881b1b6d5792,230.46228554236768,10.0,844.4713609453913,100000,845.2959571305355,0.0,100,0,0.001618742194846,-0.0976464357797797,3178.0,480,0,P05_UNCORRELATED,50,0.2
b34d0a6e631f086df556dae856e7f712f0ed405e4dc340db0dd61453b2f73e8c,488.9862060562209,10.0,911.208615958765,100000,912.7210691954706,0.0,100,0,0.0033626706812803,-0.1659832018943551,3787.0,465,0,P05_UNCORRELATED,50,0.2
c70b554afc94c9c989c29bd3f3dbf9308d730e7aee6dd40c3ae0d9ae71060af0,673.2803881476872,10.0,1206.7224220108474,100000,1208.8927849151528,0.0,100,0,0.003074379547245,-0.1798560186433588,4054.0,1931,190,P05_UNCORRELATED,50,0.2
