instanceID, capacity, shortageCost, solutionValue, solutionTimeMs, statesExplored,instance,n_items,coeff_of_var
4e874db838b2b1503b77b779ed2431389631bd1a3ad8c9703712b7acb89c7892,116.10846413274392,10.0,359.7881116800341,4482,26485,P05_UNCORRELATED,25,0.1
507414eb2416c2d5891927f3b1073c69004cfd02c4c37ef0003df6db2b6e5381,260.2867799458042,10.0,513.3340782651935,5565,30351,P05_UNCORRELATED,25,0.1
f852fb9b5ae27285e39cdcd00095f0018b103784dd216e5205cb955ed0014cd8,330.7185220868661,10.0,592.4440150940197,4718,26634,P05_UNCORRELATED,25,0.1
dc21753c31e542107e4444c0be1ea4ae7092063f5056aeeb3d46eb8ce3141b03,508.0002450797488,10.0,826.4902325308002,5956,31159,P05_UNCORRELATED,25,0.1
a84243543635e17a497faa3b1a4980f36a541fca7ef8496aa827a29095cfc491,507.9358508990788,10.0,919.8114399289128,4564,22145,P05_UNCORRELATED,25,0.1
e552d659d73c3f587900c92382d4b5ba81978c2a70964d078b790829413c75b0,677.2632613258763,10.0,1033.9939465251505,5353,25682,P05_UNCORRELATED,25,0.1
a386fe46da9e63567778d86d13ea5ee7d52ed4ce3e2576d597f038fef4c20e95,858.9901041571254,10.0,1217.034201623031,6068,26682,P05_UNCORRELATED,25,0.1
a277142647130d1c9c19615cd4082580218587d432e5560fe46d1c00e2d51bba,997.9619811631276,10.0,1330.9705194400967,6288,26296,P05_UNCORRELATED,25,0.1
9a6bc20a13766bc1a72d503e4797338615e4cf3f57304dfb0cc989c923a519f6,1064.6533536483,10.0,1270.9045411910583,5961,26653,P05_UNCORRELATED,25,0.1
74efa1cd9dd8efb4d094bdb9d123d2ca7e54938e7bb4b5db69231f3ffaa73daa,1133.3468785043312,10.0,1202.9464661088157,5906,25182,P05_UNCORRELATED,25,0.1
45c89ce31a4f646b9b25ede3b3fc1490fbdcd7b5b29aea4ccf680822baf4a204,116.10846413274392,10.0,357.62056844135736,17930,56995,P05_UNCORRELATED,25,0.2
051ad9056b44ce091318dcdc16f33154481ce2aeba4da0d471d601a0276a6b14,260.2867799458042,10.0,511.619737253493,23293,65336,P05_UNCORRELATED,25,0.2
b43839f1afe14c390c52b85e5e6370036f75974083e21b70570b2fca122ab84c,330.7185220868661,10.0,585.9251902851637,18115,57259,P05_UNCORRELATED,25,0.2
796fd66b6245be213b7f8c199ced59aa324206f7ba628d3cf7295896b27c62c8,508.0002450797488,10.0,817.9504234826027,24241,67236,P05_UNCORRELATED,25,0.2
e418aed20642de361b1a7c399764bf1791cfd32f713f36f8a532a8198cb2807f,507.9358508990788,10.0,914.242118710098,16416,47652,P05_UNCORRELATED,25,0.2
e7ae6b66f9f21e971ec6c1d45f5d4130535c844b82c67ebf1c2aa08c7cf39338,677.2632613258763,10.0,1029.2597735732647,20623,55328,P05_UNCORRELATED,25,0.2
22228b00de9fbd71d06f17a4d3f6786f03b3c606a977c2518e38b0c6dd586d4c,858.9901041571254,10.0,1208.3386024924014,23724,57507,P05_UNCORRELATED,25,0.2
2f3b578d53c7e87cd100a69691dafdc070e68310f3b685daf4975634c4400a2d,997.9619811631276,10.0,1327.6399658292166,24550,56735,P05_UNCORRELATED,25,0.2
d49ef2db97e681a306de25d93ac9454f217e80c4447b3a80426cbcce05570d84,1064.6533536483,10.0,1265.5123172367664,22813,57459,P05_UNCORRELATED,25,0.2
2f55a03f281ef8e34b22852d65d57ef3b8feaec6cfe59a3a94695443f865eb3b,1133.3468785043312,10.0,1199.5221145677672,22241,54232,P05_UNCORRELATED,25,0.2
ee154886c6b594ce5247bec2e1034c890f92635c7a4a5ea6712ffa8259097205,112.63131849856067,10.0,562.8758494060721,2897,22543,P05_WEAKLY_CORRELATED,25,0.1
4f7efbc8ecc0583149cd29808be45dc71f4c303f25021ae8388c6e19f3e28513,200.6377911389312,10.0,1219.3813354424783,2470,16623,P05_WEAKLY_CORRELATED,25,0.1
de9c10cd6b89d93e64cc61d7d91191019f38c25f9ac73e8edbbe9dc57b89e5f7,278.8633363153005,10.0,1329.2761929537432,2280,15372,P05_WEAKLY_CORRELATED,25,0.1
b6f6233685ba68a5759c9f7c9e4b4f0bafe7ef98fd5ba95f2513cc5c6e2f4f58,469.97216703269294,10.0,1378.6807751533447,3774,23546,P05_WEAKLY_CORRELATED,25,0.1
94c02fa0f543cab90d143321a6adc31eabd60ade17abb39f06c70f729130d10a,515.9189618187869,10.0,1593.2680947418687,3102,18904,P05_WEAKLY_CORRELATED,25,0.1
ccad0b0830983480c7d6088bf016c262439fc6444281a7c9dbe6d1663626db85,669.2975149694981,10.0,1810.6201176557315,3787,21595,P05_WEAKLY_CORRELATED,25,0.1
117e9e14dc4459d14148f59d6860c66cb020ac64681d0c89a68ffeede0ea5abf,907.9861870330462,10.0,1880.5622747507764,4944,26026,P05_WEAKLY_CORRELATED,25,0.1
7634ed98cde5b46cb06124c3204b30e6016d5baf4aa626cd91142af831bedb24,1015.652441537617,10.0,2036.920271655404,4925,24824,P05_WEAKLY_CORRELATED,25,0.1
9d788e29f6b0887458f304c12b6afb7537f13e2209c641bee91e637af6a784ad,1078.0584145275466,10.0,2184.7624379854915,4622,24273,P05_WEAKLY_CORRELATED,25,0.1
f4adc8dbc048cfc2a326eeac9f65ca3184e973a1e283deace7960e8c5d1cf006,1105.9222745163063,10.0,2337.345280918554,4218,21280,P05_WEAKLY_CORRELATED,25,0.1
68ecaf5756f82e7c3236371c3f2891f297ed98a1e72e0be0dbf63ebfd653111e,112.63131849856067,10.0,549.0527277066639,17363,48662,P05_WEAKLY_CORRELATED,25,0.2
650b5f0fe9d06917af66db3327e6c74e2dcea9dd4fc8c91c31045fcbaff70644,200.6377911389312,10.0,1211.2846948665504,13817,35729,P05_WEAKLY_CORRELATED,25,0.2
ac50a39d57b9366a4369869ae45f13679de19df7ad45bacb7e4fe2ac4c63751d,278.8633363153005,10.0,1331.5355550010995,12423,33035,P05_WEAKLY_CORRELATED,25,0.2
5fae40871f22b1f41057aa1e7ef264dad49cda63c6a50b26ebadb166b22d246e,469.97216703269294,10.0,1367.1977319594023,20347,50603,P05_WEAKLY_CORRELATED,25,0.2
3285b907bbb3c4f95994570932138d98a07034133ac310e3abe742f47d7a79c1,515.9189618187869,10.0,1574.2312432560109,16206,40632,P05_WEAKLY_CORRELATED,25,0.2
845d02dd8746d3220daa02854719ec1dc3ff1c1cc54543ff3ee086d9de74b5eb,669.2975149694981,10.0,1804.1209416028944,19411,46459,P05_WEAKLY_CORRELATED,25,0.2
eb40743580df2bb040d39f4d63185c2fe5cb9595c20c85e9097fbdebab71a16b,907.9861870330462,10.0,1863.304782959459,25552,55917,P05_WEAKLY_CORRELATED,25,0.2
8110c46e4142633943e0f52df34d59073e4c2a1187ea57241bfbb470840cc10f,1015.652441537617,10.0,2024.4431886652212,24984,53392,P05_WEAKLY_CORRELATED,25,0.2
392a3439e4ed773345a5af187e09003b4427ff5b8926fbc254ae1e60c8a48a51,1078.0584145275466,10.0,2174.4757929774546,23505,52386,P05_WEAKLY_CORRELATED,25,0.2
