instanceID, capacity, shortageCost, solutionValue, solutionTimeMs, statesExplored,instance,n_items,corr_coeff,coeff_of_var
79e28671ef77a7f5ef2813638e030b608083754934992a3ae21718c5ba0151ab,12.621430623637876,10.0,33.18489697548656,89403,28529,P05_UNCORRELATED,25,0.75,0.1
793eeeb46510fc6eadb3e7c45b40a96324668eeacb7cebe992cee4356c92a9d4,27.794665945486333,10.0,50.3805573935192,108749,34729,P05_UNCORRELATED,25,0.75,0.1
0d2f7dd78013c32750b62b5cd61003d66296f95fd5e7cc99902a5cdbe2d79409,36.26366729715312,10.0,58.35363827923816,76105,27296,P05_UNCORRELATED,25,0.75,0.1
78539f78d3109c26088b5fc7526988840413f899485dc507bb69ec54ae64e862,54.44630327171269,10.0,82.72917476059298,107977,34684,P05_UNCORRELATED,25,0.75,0.1
d36bac5dd7893199f9da66b0f0493822dcbbe040537ab750f9c03f13ca76de18,56.50656495776749,10.0,95.71501729125588,67034,21141,P05_UNCORRELATED,25,0.75,0.1
c23d5d944b2137bf14438b36e734b55ff76787f49229cc5252834547bbadac4d,73.96608160813751,10.0,108.40891968030247,95719,28622,P05_UNCORRELATED,25,0.75,0.1
6524101c41d1f9eaf68b499476373e221c472a8ea6a7896685bf0478f1af0522,92.55281938618496,10.0,126.38919689011716,106662,30744,P05_UNCORRELATED,25,0.75,0.1
6ce6ad5f7f56e1171371041333f04e124a8b194c01d0d1f3b0ea45e7dfe27a82,107.25274208920996,10.0,137.702551041733,113191,33133,P05_UNCORRELATED,25,0.75,0.1
e2b4b42fd3d1ab06d611bb8dadce34e7b3869f30dc65541f6472643cfe29b2f3,115.38170983579587,10.0,133.4298577787555,102715,28407,P05_UNCORRELATED,25,0.75,0.1
aabcb1820fdb1c9ceedb9c3c0c61bfc4cb8f5c1c28bcadf3f8d261266111f609,123.69269143427805,10.0,129.50669143331626,97740,26224,P05_UNCORRELATED,25,0.75,0.1
851b5ba960b279fda8a52b937206f455f35af970ed7a78e538bbd81b744195f3,12.621430623637876,10.0,35.595302827367554,95582,28529,P05_UNCORRELATED,25,0.95,0.1
8e59ef9bf40662af539f8b83d3444eaecb42dabec5edfb8d3e24f7e8be7370e2,27.794665945486333,10.0,48.18389400789869,109283,34729,P05_UNCORRELATED,25,0.95,0.1
0c9bf24ffdb66891899d8ac097376ec33f4622a1cce91092ce69806239207554,36.26366729715312,10.0,57.50605795005245,83317,27296,P05_UNCORRELATED,25,0.95,0.1
8905f3dcbb58f003190303aaf6756a4584a881c1ed788f9008880f2ce605939f,54.44630327171269,10.0,87.57847838683091,109998,34684,P05_UNCORRELATED,25,0.95,0.1
5410706c48b2b9d6959933f3350031b0666eb02ee57e70c634bb0061105848e7,56.50656495776749,10.0,97.59693351656676,68116,21141,P05_UNCORRELATED,25,0.95,0.1
ce8602907d60d4d6933d974dc304067d8f8b8eab3d41cc79e86fab8334c0c5b2,73.96608160813751,10.0,110.84417503273822,95232,28622,P05_UNCORRELATED,25,0.95,0.1
944ebb0318f38ca220c0e0cc2892877e9336390bd54c8b8dfadc0b302c05b265,92.55281938618496,10.0,129.18498505580072,110620,30744,P05_UNCORRELATED,25,0.95,0.1
a4c6c7b3605d645d3935961fde363025ff9de6229f5b26187930f4bbb5859a20,107.25274208920996,10.0,139.89019398753442,119355,33133,P05_UNCORRELATED,25,0.95,0.1
486d2e545f68c82e30e92dfd10c2fc4667dffdadb1aa1526a6e7bf5aa25a357c,115.38170983579587,10.0,133.00077174494942,101424,28407,P05_UNCORRELATED,25,0.95,0.1
35cbcb5b76909d7531c923fa7735bdcf5fa2e5f223f45a969bafc93533962f45,123.69269143427805,10.0,128.8668913302161,99941,26224,P05_UNCORRELATED,25,0.95,0.1
5b9eb319c9e2520166d3fa28d3ae1edfffbbfb04f69a96064ada880b5fb8f5f7,12.621430623637876,10.0,33.129742033911775,648966,94157,P05_UNCORRELATED,25,0.75,0.2
67c5c190484478d3b006f6fd9ed1d89d59c35c642a6ea148edb4dcbab6076be3,27.794665945486333,10.0,50.62672083916426,861445,146312,P05_UNCORRELATED,25,0.75,0.2
