instanceID, capacity, shortageCost, simulatedSolutionMean, simulatedSolutionStd, simulationRuns, piecewisePartitions, piecewiseSamples, evp, evwpi,evwpi_obj_2_n,instance,n_items,corr_coeff,coeff_of_var
79e28671ef77a7f5ef2813638e030b608083754934992a3ae21718c5ba0151ab,12.621430623637876,10.0,32.89148891936836,1.785389686836392,100,10,100000,33.73924692016173,33.879547966297444,33.879547966297444,P05_UNCORRELATED,25,0.75,0.1
793eeeb46510fc6eadb3e7c45b40a96324668eeacb7cebe992cee4356c92a9d4,27.794665945486333,10.0,50.18954287129162,2.448662523800318,100,10,100000,51.378196402607685,51.16154581043247,51.16154581042163,P05_UNCORRELATED,25,0.75,0.1
0d2f7dd78013c32750b62b5cd61003d66296f95fd5e7cc99902a5cdbe2d79409,36.26366729715312,10.0,57.67306225339591,4.312776916020976,100,10,100000,60.489834011040045,60.01061400410156,59.90136863007654,P05_UNCORRELATED,25,0.75,0.1
78539f78d3109c26088b5fc7526988840413f899485dc507bb69ec54ae64e862,54.44630327171269,10.0,81.93988621142242,3.103941966649072,100,10,100000,84.69672292206577,84.26667786527564,84.26667786527564,P05_UNCORRELATED,25,0.75,0.1
d36bac5dd7893199f9da66b0f0493822dcbbe040537ab750f9c03f13ca76de18,56.50656495776749,10.0,93.25513207867496,4.096396738180331,100,10,100000,94.80764217558075,95.1432063880242,95.14320638789656,P05_UNCORRELATED,25,0.75,0.1
c23d5d944b2137bf14438b36e734b55ff76787f49229cc5252834547bbadac4d,73.96608160813751,10.0,104.58513527642636,3.244743472009813,100,10,100000,108.2077353764812,107.4848967653316,107.3023795945096,P05_UNCORRELATED,25,0.75,0.1
6524101c41d1f9eaf68b499476373e221c472a8ea6a7896685bf0478f1af0522,92.55281938618496,10.0,122.90641029981204,4.939427318652834,100,10,100000,125.8257526137132,125.77956382898454,125.77956382898454,P05_UNCORRELATED,25,0.75,0.1
6ce6ad5f7f56e1171371041333f04e124a8b194c01d0d1f3b0ea45e7dfe27a82,107.25274208920996,10.0,137.53261574277462,3.1505518109462094,100,10,100000,139.11810676370894,138.9275028950663,138.9198431210783,P05_UNCORRELATED,25,0.75,0.1
e2b4b42fd3d1ab06d611bb8dadce34e7b3869f30dc65541f6472643cfe29b2f3,115.38170983579587,10.0,132.35449763513722,4.226213493548452,100,10,100000,134.83099584790114,134.4111091085193,134.4111091085193,P05_UNCORRELATED,25,0.75,0.1
aabcb1820fdb1c9ceedb9c3c0c61bfc4cb8f5c1c28bcadf3f8d261266111f609,123.69269143427805,10.0,128.9379767046062,2.543255999543315,100,10,100000,130.42089035281566,130.06980906353735,130.06980906353735,P05_UNCORRELATED,25,0.75,0.1
851b5ba960b279fda8a52b937206f455f35af970ed7a78e538bbd81b744195f3,12.621430623637876,10.0,32.987868148662805,1.6423771754726266,100,10,100000,33.73924692016173,33.873354289927924,33.873354289927924,P05_UNCORRELATED,25,0.95,0.1
8e59ef9bf40662af539f8b83d3444eaecb42dabec5edfb8d3e24f7e8be7370e2,27.794665945486333,10.0,49.637121322558926,2.7970354861640394,100,10,100000,51.378196402607685,50.76724420600395,50.76724420600395,P05_UNCORRELATED,25,0.95,0.1
0c9bf24ffdb66891899d8ac097376ec33f4622a1cce91092ce69806239207554,36.26366729715312,10.0,57.53442311943379,4.486997284661834,100,10,100000,60.489834011040045,59.76102198074787,59.64511602503275,P05_UNCORRELATED,25,0.95,0.1
8905f3dcbb58f003190303aaf6756a4584a881c1ed788f9008880f2ce605939f,54.44630327171269,10.0,81.21512677750682,4.948180393519084,100,10,100000,84.69672292206577,83.70653354703191,83.70653354703188,P05_UNCORRELATED,25,0.95,0.1
5410706c48b2b9d6959933f3350031b0666eb02ee57e70c634bb0061105848e7,56.50656495776749,10.0,93.01802577296128,4.909213384336552,100,10,100000,94.80764217558075,94.83948828417638,94.83948828406184,P05_UNCORRELATED,25,0.95,0.1
ce8602907d60d4d6933d974dc304067d8f8b8eab3d41cc79e86fab8334c0c5b2,73.96608160813751,10.0,103.77220294331062,4.271530000367959,100,10,100000,108.2077353764812,107.3637386417968,107.05847453943528,P05_UNCORRELATED,25,0.95,0.1
944ebb0318f38ca220c0e0cc2892877e9336390bd54c8b8dfadc0b302c05b265,92.55281938618496,10.0,122.08746569620271,7.746345363609826,100,10,100000,125.8257526137132,125.53407528834612,125.5340752884655,P05_UNCORRELATED,25,0.95,0.1
a4c6c7b3605d645d3935961fde363025ff9de6229f5b26187930f4bbb5859a20,107.25274208920996,10.0,136.54747447163592,4.852414078958927,100,10,100000,139.11810676370894,138.55718445870457,138.54130301986908,P05_UNCORRELATED,25,0.95,0.1
486d2e545f68c82e30e92dfd10c2fc4667dffdadb1aa1526a6e7bf5aa25a357c,115.38170983579587,10.0,131.76887726634692,5.322715292619498,100,10,100000,134.83099584790114,134.061449999934,134.061449999934,P05_UNCORRELATED,25,0.95,0.1
35cbcb5b76909d7531c923fa7735bdcf5fa2e5f223f45a969bafc93533962f45,123.69269143427805,10.0,128.16207918906528,4.6861215633542335,100,10,100000,130.42089035281566,129.65204842928216,129.6520484292822,P05_UNCORRELATED,25,0.95,0.1
5b9eb319c9e2520166d3fa28d3ae1edfffbbfb04f69a96064ada880b5fb8f5f7,12.621430623637876,10.0,32.7197901084505,2.9465442207027825,100,10,100000,33.73924692016173,34.6863862765642,34.6863862765642,P05_UNCORRELATED,25,0.75,0.2
