instanceID, capacity, shortageCost, simulatedSolutionValue, simulationRuns, milpSolutionValue, milpOptimalityGap, piecewisePartitions, piecewiseSamples, milpMaxLinearizationError, simulatedLinearizationError,cplexSolutionTimeMs, simplexIterations, exploredNodes,instance,n_items,corr_coeff,coeff_of_var
38d015377480431f4c709273bc6c5c28009bfd544b55846f2d303c24bff0ce65,116.10846413274392,10.0,355.03037433084086,100000,356.8806850077946,0.0,50,0,0.0038193104440976,-0.5211696831408362,1974.0,120,0,P05_UNCORRELATED,25,0.75,0.1
e08cd2a4f71a15886ecd06d4671ec38c2c0f912c9f456476c921e4d6d1f45e12,260.2867799458042,10.0,498.7262653728124,100000,506.93656769690136,0.0,50,0,0.0050176182430796,-1.6462542468966452,2315.0,95,0,P05_UNCORRELATED,25,0.75,0.1
80b7ec85fe32a9a97fb228258205385d084f79a2f0512ad7b7235be6b26dd274,330.7185220868661,10.0,561.326095303293,100000,575.2774648897919,0.0,50,0,0.0057651016368958,-2.4854304304097563,1652.0,71,0,P05_UNCORRELATED,25,0.75,0.1
dae28c3fd0cfe598d168b077a430ace5810b27e2fca5c4d472de9d2e9073242c,508.0002450797488,10.0,793.0320120960014,100000,810.8101930192865,0.0,50,0,0.0047811341704251,-2.2417986477364304,2063.0,97,0,P05_UNCORRELATED,25,0.75,0.1
38985e13d2fabf9b09ea474399b1f42d2668498b1c3d33159599c295ce839b43,507.9358508990788,10.0,896.222494822135,100000,911.0968499946732,0.0,50,0,0.0043217961924346,-1.6596721526712188,1149.0,229,0,P05_UNCORRELATED,25,0.75,0.1
68f0a23d1efca19f673c6072a0ee821d1e0ae134c8464a0e3b858f1a58146a33,677.2632613258763,10.0,1004.9347031588252,100000,1024.1257804273932,0.0,50,0,0.0047386306767302,-1.909684003173996,1726.0,111,0,P05_UNCORRELATED,25,0.75,0.1
8918225f1f06773a9a4e6b0537044104c138b10cff3a5b8c336c28f6f995d61b,858.9901041571254,10.0,1164.9483650980426,100000,1198.2032579765048,0.0,50,0,0.0051076022385665,-2.854623764862185,1829.0,230,0,P05_UNCORRELATED,25,0.75,0.1
fe6ba7e2ba30cb9fbd1fe7c0000dca9e43036de3ae83c0e8b1e1d99cfcfba7a1,997.9619811631276,10.0,1311.1198610924798,100000,1328.6290325223508,0.0,50,0,0.0048119653163719,-1.3354363662283042,1287.0,182,0,P05_UNCORRELATED,25,0.75,0.1
53096b2747e593c18d241df3c8ace19cf5ee6ee3aee159ee6c9733924057fc25,1064.6533536483,10.0,1203.7218582421574,100000,1259.352506735829,0.0,50,0,0.0054767984522835,-4.621553402287711,1496.0,74,0,P05_UNCORRELATED,25,0.75,0.1
75290e7dec9d0a6a350f29616d73ee991289342b5e2ea5b1806ba1c875537051,1133.3468785043312,10.0,1145.650685748429,100000,1193.7228986355926,0.0,50,0,0.0059627661889871,-4.196061983392359,1481.0,171,0,P05_UNCORRELATED,25,0.75,0.1
82e383ebb322aa5bc5d54fffaed497d9c7e19de5a8c54331d49d3c2c68e1f938,116.10846413274392,10.0,347.7452286151463,100000,356.8950810686555,0.0,50,0,0.0038922533124189,-2.631194248141776,2143.0,149,0,P05_UNCORRELATED,25,0.95,0.1
ccf037f87b9b45ca330fa88fe8da100c5672455c62f27759c1f0f680e8c31c02,260.2867799458042,10.0,479.7508915555548,100000,506.92063346847135,0.0,50,0,0.0052243947656448,-5.663302015931807,2494.0,92,0,P05_UNCORRELATED,25,0.95,0.1
60a79c9d535d5e4f0493dd2b07e78fdb6c2a59ce335aaf21df13ecf36ead1f4c,330.7185220868661,10.0,537.8966380897448,100000,575.2774648897919,0.0,50,0,0.0060162153129602,-6.949444215304861,1335.0,68,0,P05_UNCORRELATED,25,0.95,0.1
7b6bdd957a5d7a82094b79bfb973a8eea420c5a0dd42e29b0e40c12afc073562,508.0002450797488,10.0,753.5443172605599,100000,810.8399940216676,0.0,50,0,0.0050141874591712,-7.603491320776042,2164.0,105,0,P05_UNCORRELATED,25,0.95,0.1
9af044d7e95c4494f40c68390cb54e4f20013a409c8501a66536eafcbe7a489d,507.9358508990788,10.0,863.3212970744787,100000,911.0968499946732,0.0,50,0,0.004486499961048,-5.533924980432044,1397.0,83,0,P05_UNCORRELATED,25,0.95,0.1
6f8415fa5a1fa42871835e953b921b97c5e5ec4d016e3a473faa928ff43fad0e,677.2632613258763,10.0,951.6520842066058,100000,1024.0501310500451,0.0,50,0,0.0050391016625172,-7.607617116059569,1334.0,82,0,P05_UNCORRELATED,25,0.95,0.1
5c9096e6fa20bd71acb6432e3a399a55b316b6faa4dde24b83a050d8b1c93a76,858.9901041571254,10.0,1091.154921597727,100000,1198.198763218785,0.0,50,0,0.0054543480074193,-9.81014148424668,1630.0,70,0,P05_UNCORRELATED,25,0.95,0.1
fcabf37468d78d02944a063705f224652ae430cf2b8eb7d232ce2206b18e0b86,997.9619811631276,10.0,1241.0011725158647,100000,1328.6351842359563,0.0,50,0,0.0050664970676526,-7.061557527978188,2196.0,93,0,P05_UNCORRELATED,25,0.95,0.1
e254ff1c97cf84391e0f6bdd27e7f5b656076749cd17745fc7b46fe7d80cc6a8,1064.6533536483,10.0,1093.8848893454349,100000,1259.3908528464744,0.0,50,0,0.0060179457155852,-15.130107848923297,2153.0,70,0,P05_UNCORRELATED,25,0.95,0.1
9d39cbb025f5273f3427edacb5b9e05f34906fea1162c52f1df79c7406752df1,1133.3468785043312,10.0,1041.7170793678067,100000,1193.7255709250285,0.0,50,0,0.0065559474656146,-14.5921089869691,1181.0,70,0,P05_UNCORRELATED,25,0.95,0.1
88a74b6eff06929d9215678fee8f97733b69f7c1e54ae3a80278c759070e3150,116.10846413274392,10.0,336.80356802506094,100000,343.670717500902,0.0,50,0,0.0080264325395533,-2.0389182680303737,2032.0,100,0,P05_UNCORRELATED,25,0.75,0.2
