instanceID, capacity, shortageCost, simulatedSolutionValue, simulationRuns, milpSolutionValue, milpOptimalityGap, cuts, milpMaxLinearizationError, simulatedLinearizationError,cplexSolutionTimeMs, simplexIterations, exploredNodes,instance,n_items,coeff_of_var
5ef5c28f8ef0007e2e2c9779280d01ff57e281bb76c8490221319b83d4ec6468,488.9862060562209,10.0,945.0531992296078,100000,944.9145943034448,2.754204045314918e-05,1,0.0,0.014666362303847,369.0,208,45,P05_UNCORRELATED,50,0.1
0ad671930bec24c19e430ec59a31a0f7bcb315b18d1de1c7ce13134b9440caac,673.2803881476872,10.0,1239.5337859739614,100000,1239.5428039294984,7.538375485521335e-05,1,0.0,-0.0007275280140880574,355.0,151,40,P05_UNCORRELATED,50,0.1
77b1a3b1beefb945c209fe19f289f22c1045e4891de59705b6fb3bed7650f697,1006.8072113503724,10.0,1724.4690340947964,100000,1724.373662335351,3.0784898502256297e-06,1,0.0,0.0055304999718803,817.0,709,180,P05_UNCORRELATED,50,0.1
4b8f9f4ab026da620f8ebde6200248ce83d3b19aa1f0bf0415592d1af15d2f43,1119.6345765103188,10.0,1893.5594692034265,100000,1893.3545214987912,7.950617739120162e-05,2,0.0,0.0108234099835943,557.0,447,111,P05_UNCORRELATED,50,0.1
0217393729be4e588778813d8db9d9d1dd67252250ebe815e5637c63e58f2f2c,1338.503155357442,10.0,1899.892682983306,100000,1899.8511537647137,4.265384245107788e-05,0,0.0,0.0021858718107776,521.0,349,64,P05_UNCORRELATED,50,0.1
8fbe4d21e73fa69f78141dd76d6eb0981abb3a7f1271059bb2b5ad5a05594a72,1525.452019385088,10.0,2057.8587880148243,100000,2057.991326843773,8.764693130192968e-05,3,0.0,-0.0064406182640277,728.0,857,172,P05_UNCORRELATED,50,0.1
d4fc12d3bba19ded78ce473df37ec297cc8b3d64152b8b4e3be95d1ac36cef2b,1785.3808284860645,10.0,2365.400685104572,100000,2365.438260362584,7.75167968284266e-05,3,0.0,-0.0015885367011295,817.0,717,206,P05_UNCORRELATED,50,0.1
33766eba4222d8cbd2126451453d8ce7de6a46852a3e3511f2753816f79ad242,2050.164544284524,10.0,2201.4980299694166,100000,2201.3566554183576,4.3758140328828896e-05,1,0.0,0.006421743246392,411.0,593,154,P05_UNCORRELATED,50,0.1
a946d2519e1fbc8a55ed3b593cb779599060cfbe5cb9cb188b664d60280fa5d4,2281.227024915277,10.0,2662.371483530619,100000,2662.358908971521,4.69782855911845e-05,1,0.0,0.0004723067076052357,217.0,147,23,P05_UNCORRELATED,50,0.1
98a10af45d845dbe7805053d68d1c79bfde45222724e733d3e38833555f22b92,230.46228554236768,10.0,845.3228627967666,100000,845.2351750109763,4.952039880764858e-05,0,0.0,0.0103732892660907,557.0,264,35,P05_UNCORRELATED,50,0.2
dbd2f9fe8d90eb8341389629bd651fe7a10b6b376c82d95b8ab0fd16e76bc40d,488.9862060562209,10.0,913.1405122884034,100000,912.7099126438668,0.0,0,0.0,0.0471559019386444,647.0,618,116,P05_UNCORRELATED,50,0.2
9b77a3b7cb43688d2575d5ffd4a801c578b8d0a37e91d6f2b44e712f90b3600e,673.2803881476872,10.0,1208.8399676458944,100000,1208.8868254578256,6.58167909879405e-06,0,0.0,-0.0038762626307314,228.0,132,23,P05_UNCORRELATED,50,0.2
8002be85929d138d45ece21d699762475ed2bca03f438abdbf78092a5adfe210,1006.8072113503724,10.0,1685.4440952572922,100000,1685.3163085342983,0.0,1,0.0,0.0075817835402143,581.0,734,167,P05_UNCORRELATED,50,0.2
