instanceID,capacity,shortageCost,HEURoptimalKnapsack,HEURsolutionValue,HEURsolutionTimeMs,instance,n_items,coeff_of_var
f3cc47b06c3a37b1c3122d6ff8740e197134a9bd1e0005708274ed5bf24e4aec,230.46228554236768,10.0,[0.	0.	1.	0.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	0.	0.	1.	0.	0.	0.	1.	0.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	1.	1.	0.	0.	0.	0.],857.8612784586749,14925.906494140623,P05_UNCORRELATED,50,0.1
f365d37793eae7ecfa74303626b0e057dcfdd3c64f5fb8ddf1abab3f91296797,488.9862060562209,10.0,[1.	1.	0.	0.	0.	0.	1.	1.	1.	0.	0.	1.	1.	1.	0.	0.	0.	0.	1.	1.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.],944.9145943034448,12306.350830078123,P05_UNCORRELATED,50,0.1
f18e504b48fdbadfaba22b57fc59e26cfb9fd6fcc2556ecfc1f594bbac0bf6c4,673.2803881476872,10.0,[0.	0.	0.	0.	1.	1.	1.	0.	0.	1.	1.	0.	1.	1.	1.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	0.	1.	0.	1.	0.	0.	0.	0.	1.	0.	0.	1.],1239.5428039294984,12842.47412109375,P05_UNCORRELATED,50,0.1
7ffa7206751e7139c19957f001e6963a1b209a9d9ff01a9d1f0f051767a5fb2d,1006.8072113503724,10.0,[1.	0.	1.	1.	1.	1.	0.	1.	0.	0.	1.	1.	1.	1.	0.	1.	0.	1.	0.	1.	0.	0.	0.	1.	0.	0.	1.	0.	0.	0.	1.	1.	0.	1.	1.	0.	1.	0.	0.	1.	1.	0.	0.	1.	0.	1.	1.	0.	0.	1.],1724.338813376391,14584.0068359375,P05_UNCORRELATED,50,0.1
6fa1008e1cc1aa6541f7db681dadde9517447fe1db41220aa4a108c5efc529ca,1119.6345765103188,10.0,[1.	1.	1.	1.	1.	0.	1.	0.	0.	1.	0.	1.	1.	1.	0.	1.	0.	1.	0.	0.	1.	1.	1.	1.	0.	1.	1.	1.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	1.	0.	1.	1.	1.	1.	0.	1.	0.	1.	1.	0.],1891.998168843242,14974.920654296877,P05_UNCORRELATED,50,0.1
def892a0afa62dcd9d7b4a1bde69efca1c9a07f6667950d44c799d558f9fddad,1338.503155357442,10.0,[1.	0.	0.	0.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	0.	1.	1.	1.	0.	1.	0.	1.	1.	1.	1.	0.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	0.	0.	1.	0.	1.	1.	1.	0.	0.	0.	1.	0.	1.],1899.8774693358005,13655.6845703125,P05_UNCORRELATED,50,0.1
d9cd2d5d1a7b9a1af60f7538154de1317dc341ab84bd1969846aa3ca9bcb18c3,1525.452019385088,10.0,[0.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	0.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	0.	1.	1.	0.	1.	0.	1.	0.	1.	1.	1.	0.	1.	0.],2057.991326843773,13420.1494140625,P05_UNCORRELATED,50,0.1
109d8ebafe8dc2cfa47240a148b69a8bcb23af3f2a7efa37f99ce7d5c97f0469,1785.3808284860645,10.0,[0.	1.	0.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	0.	1.	0.	0.	1.	1.	1.	1.	1.	1.	0.	0.	0.	0.	1.	1.	1.	1.	0.	1.	1.],2365.028884594073,14002.87939453125,P05_UNCORRELATED,50,0.1
0b0c5f314839d164f0815d243ab9af796cee37f462344b4a50039c0e9d0e23e5,2050.164544284524,10.0,[1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	0.	1.	1.	1.	0.	0.	1.	1.	1.	1.],2201.455173896157,14001.8388671875,P05_UNCORRELATED,50,0.1
d85f2d7dc4f595ee123230188dffbda13e94c4472aac9fd7934948918560a0f8,2281.227024915277,10.0,[1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.],2662.358908971521,14364.264892578123,P05_UNCORRELATED,50,0.1
