instanceID,capacity,shortageCost,B&BoptimalKnapsack,B&BsolutionValue,B&BsolutionTimeMs,B&BexploredNodes,HEURoptimalKnapsack,HEURsolutionValue,HEURsolutionTimeMs,HEURoptGap,instance,n_items,coeff_of_var
0a2dcdf00882e5c3b82e3ab0d80f003186ce207171d82c0779636980b60aa7a3,858.9901041571254,10.0,[1.	0.	0.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	0.	1.	1.	1.	0.	1.	0.	1.	0.	1.	1.],1163.4636406335112,13335.200439453123,15,[1.	0.	0.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.	0.	1.	1.	1.	0.	1.	0.	1.	0.	1.	1.],1163.4636406335112,2432.371337890625,0.0,P05_UNCORRELATED,25,0.2
a6c57404b7ebbedc4003ac2cfb3a960fee7f2a3f210072b362918461a9080b6a,997.9619811631276,10.0,[1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.],1306.812735678234,16985.607666015625,23,[1.	1.	1.	0.	0.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	1.],1306.812735678234,2668.043212890625,0.0,P05_UNCORRELATED,25,0.2
71b9ed199c612ac0a9ad290943b7e539d46175fc74849608c5393b56faf69104,1064.6533536483,10.0,[1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	0.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	0.],1238.1206499728594,14206.10791015625,17,[1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	0.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	0.],1238.1206499728594,1961.5908203125,0.0,P05_UNCORRELATED,25,0.2
a3a35592dfe81993b11ff4d93952d6993a3d26ee384a9aca97377e9188544330,1133.3468785043312,10.0,[1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.],1186.4801860813764,978.32373046875,1,[1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.],1186.4801860813764,1929.246826171875,0.0,P05_UNCORRELATED,25,0.2
6edf823d7351bde6cd88310898b59f452c94f0d724d64b0cd258c755d80b733e,112.63131849856067,10.0,[0.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	0.	0.	1.	1.	0.],563.2515577632659,5656.37890625,5,[0.	0.	0.	1.	0.	0.	0.	0.	1.	0.	0.	0.	1.	0.	0.	0.	0.	0.	1.	0.	0.	0.	1.	1.	0.],563.2515577632659,2480.241943359375,0.0,P05_WEAKLY_CORRELATED,25,0.1
15edebe68551685432612f69872ca8c4ec1e0558a004c625d3db615c97f12be0,200.6377911389312,10.0,[1.	0.	1.	0.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	1.	1.],1217.345572110139,14142.759521484377,33,[0.	0.	1.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	0.	0.	0.	0.	0.	1.	1.],1209.8511504688818,1819.977294921875,0.6156363330969793,P05_WEAKLY_CORRELATED,25,0.1
30fff6bc8037a6f813c984e07b5811ec09e775f5f37a348875a181d37dadb0ff,278.8633363153005,10.0,[0.	0.	1.	1.	1.	1.	1.	1.	0.	0.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	1.	0.	0.	1.	1.],1323.9156515516995,31243.538330078125,99,[0.	0.	1.	1.	1.	1.	1.	0.	0.	0.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	1.	1.	0.	1.	1.],1320.4744139076197,1301.758544921875,0.2599287681240497,P05_WEAKLY_CORRELATED,25,0.1
650b239d2ed63f3a1e628836b0e6c8626ade6ded6a387be1ee5865394faab3f4,469.97216703269294,10.0,[1.	1.	0.	1.	1.	0.	1.	1.	1.	0.	1.	0.	1.	1.	1.	0.	0.	0.	1.	1.	1.	0.	0.	0.	0.],1375.7184625555874,17736.534912109375,29,[1.	1.	0.	1.	1.	0.	1.	1.	1.	0.	1.	0.	1.	1.	1.	0.	0.	0.	1.	1.	1.	0.	0.	0.	0.],1375.7184625555874,2339.1357421875,0.0,P05_WEAKLY_CORRELATED,25,0.1
4cbe655d7e40ba903bf7bdc00fdd10d1c47d588becef8249fff8e0a5c72feb81,515.9189618187869,10.0,[1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	0.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.],1589.5423989772078,8180.095458984375,15,[1.	1.	1.	1.	1.	0.	0.	1.	1.	1.	0.	1.	0.	0.	0.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.],1589.5423989772078,1862.525146484375,0.0,P05_WEAKLY_CORRELATED,25,0.1
2f3034523118557e83492b4d7d8fbb0ecbe8a4753e1af801694f5e1676265ec2,669.2975149694981,10.0,[1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	0.	0.	0.	1.	0.],1805.8982235727597,12025.44482421875,17,[1.	1.	1.	0.	1.	1.	1.	1.	1.	1.	0.	1.	1.	1.	1.	1.	0.	1.	1.	1.	0.	0.	0.	1.	0.],1805.8982235727597,2338.00048828125,0.0,P05_WEAKLY_CORRELATED,25,0.1
